account_id,customer_id,account_type,currency,balance,opened_date
ACC00001,CUST0001,savings,AZN,79870.09,2003-01-09
ACC00002,CUST0001,checking,USD,29249.46,2001-06-11
ACC00003,CUST0002,checking,USD,8403.31,2001-02-05
ACC00004,CUST0003,savings,AZN,51074.4,2010-05-04
ACC00005,CUST0004,checking,USD,46385.14,2017-03-20
ACC00006,CUST0004,checking,AZN,36589.48,2003-11-02
ACC00007,CUST0005,checking,AZN,24791.09,2018-01-08
ACC00008,CUST0006,savings,EUR,79893.66,2014-12-16
ACC00009,CUST0007,checking,AZN,79423.18,2023-10-21
ACC00010,CUST0007,savings,USD,27517.38,2019-04-03
ACC00011,CUST0008,checking,USD,92159.53,2004-11-01
ACC00012,CUST0009,savings,AZN,31374.84,2013-08-17
ACC00013,CUST0010,savings,AZN,71176.95,2005-10-07
ACC00014,CUST0010,checking,AZN,29684.41,2016-01-28
ACC00015,CUST0010,checking,AZN,64776.04,2018-11-21
ACC00016,CUST0011,savings,AZN,97997.99,2004-05-31
ACC00017,CUST0011,checking,USD,86476.21,2010-07-25
ACC00018,CUST0012,checking,EUR,20834.58,1997-08-20
ACC00019,CUST0012,savings,USD,21400.99,2025-02-27
ACC00020,CUST0013,checking,AZN,80422.7,2010-12-14
ACC00021,CUST0014,checking,AZN,60045.19,2022-09-16
ACC00022,CUST0015,savings,AZN,74998.59,2020-01-12
ACC00023,CUST0015,savings,USD,71437.75,2006-10-15
ACC00024,CUST0016,checking,USD,43931.72,2025-06-10
ACC00025,CUST0016,checking,AZN,89195.09,2025-04-19
ACC00026,CUST0017,checking,EUR,86497.95,2023-01-10
ACC00027,CUST0018,checking,AZN,123.3,2023-12-31
ACC00028,CUST0019,savings,USD,5329.47,2021-06-06
ACC00029,CUST0020,savings,USD,34586.29,2021-12-14
ACC00030,CUST0020,checking,AZN,3420.15,2019-10-29
ACC00031,CUST0021,checking,AZN,70278.57,1996-11-18
ACC00032,CUST0021,checking,AZN,97069.73,2021-05-10
ACC00033,CUST0022,checking,AZN,70149.71,2018-11-27
ACC00034,CUST0022,checking,AZN,34994.82,2022-01-16
ACC00035,CUST0023,savings,USD,91797.24,2016-04-30
ACC00036,CUST0024,savings,AZN,5809.38,2016-05-21
ACC00037,CUST0024,savings,AZN,64429.99,1984-01-24
ACC00038,CUST0025,checking,AZN,26643.63,2021-11-13
ACC00039,CUST0026,savings,USD,46182.08,2005-09-21
ACC00040,CUST0027,savings,AZN,81717.14,2015-05-31
ACC00041,CUST0028,savings,AZN,49535.11,2022-04-19
ACC00042,CUST0028,checking,AZN,79896.26,2008-08-22
ACC00043,CUST0028,savings,AZN,27172.01,2012-06-07
ACC00044,CUST0029,savings,AZN,92777.96,2009-10-27
ACC00045,CUST0029,savings,EUR,16783.12,2020-01-18
ACC00046,CUST0030,savings,AZN,94456.69,2019-10-09
ACC00047,CUST0030,checking,AZN,35254.37,2019-07-16
ACC00048,CUST0031,savings,AZN,42679.04,2024-10-01
ACC00049,CUST0032,savings,AZN,99701.23,2016-12-12
ACC00050,CUST0033,checking,AZN,31922.47,2020-01-26
ACC00051,CUST0033,checking,AZN,14193.43,2009-11-07
ACC00052,CUST0033,savings,AZN,38193.85,2013-04-03
ACC00053,CUST0034,checking,USD,55984.08,1992-02-08
ACC00054,CUST0035,checking,AZN,1746.33,1994-07-23
ACC00055,CUST0035,savings,EUR,49559.56,2005-10-05
ACC00056,CUST0036,checking,USD,9099.37,2008-12-13
ACC00057,CUST0036,savings,AZN,22733.75,2025-05-10
ACC00058,CUST0036,checking,AZN,37523.8,2005-12-16
ACC00059,CUST0037,checking,AZN,68196.32,2010-10-03
ACC00060,CUST0037,checking,AZN,1880.0,2015-04-23
ACC00061,CUST0038,savings,AZN,24261.26,2014-12-04
ACC00062,CUST0038,checking,EUR,52924.91,2023-10-18
ACC00063,CUST0039,savings,AZN,14334.78,2018-11-03
ACC00064,CUST0039,checking,AZN,82460.05,2018-09-27
ACC00065,CUST0040,savings,AZN,596.62,2022-07-04
ACC00066,CUST0041,savings,AZN,11856.17,2017-09-26
ACC00067,CUST0041,checking,AZN,91368.18,2019-08-21
ACC00068,CUST0042,savings,AZN,83376.72,2015-11-20
ACC00069,CUST0042,savings,AZN,50759.13,1989-04-04
ACC00070,CUST0043,checking,AZN,92115.55,2018-02-13
ACC00071,CUST0044,checking,AZN,2947.98,2023-11-17
ACC00072,CUST0044,savings,AZN,70998.01,2025-02-06
ACC00073,CUST0045,checking,AZN,71759.16,2023-10-24
ACC00074,CUST0045,checking,USD,75786.5,2013-05-15
ACC00075,CUST0046,savings,USD,3338.39,2007-10-18
ACC00076,CUST0047,savings,EUR,19376.86,2016-11-26
ACC00077,CUST0047,savings,USD,74408.39,2003-06-06
ACC00078,CUST0048,checking,AZN,33910.09,1998-01-13
ACC00079,CUST0048,savings,EUR,78815.24,2014-01-02
ACC00080,CUST0049,checking,USD,82455.24,2018-12-16
