flag_id,transaction_id,flag_type,flag_reason,flagged_at
FLAG00001,TXN0000066,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00002,TXN0000069,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00003,TXN0000087,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00004,TXN0000187,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00005,TXN0000228,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00006,TXN0000232,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00007,TXN0000278,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00008,TXN0000415,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00009,TXN0000427,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00010,TXN0000429,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00011,TXN0000445,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00012,TXN0000468,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00013,TXN0000517,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00014,TXN0000634,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00015,TXN0000635,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00016,TXN0000678,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00017,TXN0000784,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00018,TXN0000807,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00019,TXN0000817,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00020,TXN0000829,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00021,TXN0000913,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00022,TXN0000947,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00023,TXN0001027,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00024,TXN0001052,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00025,TXN0001071,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00026,TXN0001088,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00027,TXN0001155,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00028,TXN0001206,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00029,TXN0001334,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00030,TXN0001404,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00031,TXN0001448,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00032,TXN0001456,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00033,TXN0001458,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00034,TXN0001464,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00035,TXN0001567,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00036,TXN0001643,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00037,TXN0001653,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00038,TXN0001661,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00039,TXN0001721,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00040,TXN0001771,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00041,TXN0001850,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00042,TXN0001881,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00043,TXN0001904,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00044,TXN0001911,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00045,TXN0001912,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00046,TXN0001954,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00047,TXN0001960,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00048,TXN0002011,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00049,TXN0002038,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00050,TXN0002039,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
FLAG00051,TXN0002073,high_value,Transaction amount exceeds 10000.0,2026-01-09 15:41:24.532035
