account_id,customer_id,account_type,currency,balance,opened_date
ACC00001,CUST0001,checking,AZN,89780.56,2015-05-17
ACC00002,CUST0001,checking,EUR,53803.02,2017-11-07
ACC00003,CUST0001,savings,USD,80639.22,2013-03-12
ACC00004,CUST0002,savings,USD,33754.27,2021-08-06
ACC00005,CUST0002,checking,AZN,18452.59,2014-04-16
ACC00006,CUST0003,checking,AZN,62338.14,2024-07-16
ACC00007,CUST0004,savings,USD,14779.52,2022-12-15
ACC00008,CUST0004,checking,AZN,28663.62,2023-07-29
ACC00009,CUST0004,checking,AZN,48358.34,2023-10-25
ACC00010,CUST0005,checking,AZN,40727.59,2021-06-30
ACC00011,CUST0006,savings,AZN,91493.93,2019-01-24
ACC00012,CUST0007,checking,EUR,67160.21,2021-08-07
ACC00013,CUST0008,checking,AZN,23110.19,2019-07-05
ACC00014,CUST0009,savings,AZN,59349.25,1999-07-23
ACC00015,CUST0009,checking,AZN,3823.98,1992-12-30
ACC00016,CUST0009,checking,AZN,11989.63,2025-07-11
ACC00017,CUST0010,checking,EUR,99270.9,2009-03-31
ACC00018,CUST0011,savings,USD,65613.2,2022-06-09
ACC00019,CUST0012,checking,AZN,96931.91,2023-10-30
ACC00020,CUST0013,savings,EUR,15516.99,2023-08-06
ACC00021,CUST0013,checking,AZN,19842.77,2024-11-29
ACC00022,CUST0014,savings,AZN,36929.16,2022-06-26
ACC00023,CUST0014,checking,AZN,47777.94,2020-08-02
ACC00024,CUST0015,savings,AZN,65525.6,2022-05-19
ACC00025,CUST0015,checking,USD,9855.64,2024-11-18
ACC00026,CUST0016,savings,USD,86340.02,1992-10-04
ACC00027,CUST0017,checking,AZN,30819.36,2023-07-11
ACC00028,CUST0018,savings,AZN,1495.46,1990-06-18
ACC00029,CUST0019,savings,AZN,61749.65,2017-11-06
ACC00030,CUST0020,checking,USD,26493.35,2022-02-09
ACC00031,CUST0020,savings,AZN,36604.7,2019-09-30
ACC00032,CUST0021,checking,AZN,80304.42,2010-11-28
