transaction_id,account_id,timestamp,transaction_type,amount,currency,country
TXN0000001,ACC00001,2026-01-09 13:59:48,POS,159.16,AZN,DE
TXN0000002,ACC00001,2026-01-09 12:21:03,POS,1181.51,AZN,DE
TXN0000003,ACC00002,2026-01-09 19:48:08,TRANSFER,145.78,EUR,DE
TXN0000004,ACC00002,2026-01-09 12:40:12,POS,63.94,EUR,DE
TXN0000005,ACC00003,2026-01-09 16:27:00,POS,960.9,USD,DE
TXN0000006,ACC00004,2026-01-09 04:32:36,ATM,66.71,USD,TR
TXN0000007,ACC00004,2026-01-09 16:20:51,POS,55.08,USD,TR
TXN0000008,ACC00005,2026-01-09 11:17:52,POS,888.74,AZN,US
TXN0000009,ACC00006,2026-01-09 13:54:30,POS,791.29,AZN,AZ
TXN0000010,ACC00006,2026-01-09 06:28:31,TRANSFER,64.83,AZN,AZ
TXN0000011,ACC00007,2026-01-09 00:43:13,TRANSFER,94.04,USD,AZ
TXN0000012,ACC00007,2026-01-09 21:03:42,TRANSFER,116.26,USD,AZ
TXN0000013,ACC00007,2026-01-09 09:43:06,TRANSFER,845.82,USD,AZ
TXN0000014,ACC00008,2026-01-09 11:00:25,ATM,15035.72,AZN,AZ
TXN0000015,ACC00008,2026-01-09 06:49:16,POS,15179.08,AZN,GE
TXN0000016,ACC00009,2026-01-09 19:32:56,ATM,161.28,AZN,GE
TXN0000017,ACC00009,2026-01-09 11:01:36,POS,169.14,AZN,GB
TXN0000018,ACC00010,2026-01-09 04:22:32,POS,139.15,AZN,AZ
TXN0000019,ACC00010,2026-01-09 14:56:30,POS,166.48,AZN,AZ
TXN0000020,ACC00011,2026-01-09 03:41:29,ATM,22.21,AZN,DE
TXN0000021,ACC00011,2026-01-09 18:22:21,ATM,138.71,AZN,TR
TXN0000022,ACC00012,2026-01-09 00:10:16,ATM,454.5,EUR,AZ
TXN0000023,ACC00012,2026-01-09 13:23:10,POS,108.81,EUR,AZ
TXN0000024,ACC00013,2026-01-09 00:55:38,ATM,83.26,AZN,AZ
TXN0000025,ACC00013,2026-01-09 07:28:57,ATM,40.87,AZN,AZ
TXN0000026,ACC00014,2026-01-09 00:52:05,ATM,59.51,AZN,AZ
TXN0000027,ACC00015,2026-01-09 04:40:18,POS,74.57,AZN,AZ
TXN0000028,ACC00015,2026-01-09 20:13:53,POS,158.14,AZN,AZ
TXN0000029,ACC00016,2026-01-09 06:49:59,POS,122.2,AZN,AZ
TXN0000030,ACC00016,2026-01-09 21:15:24,ATM,171.52,AZN,AZ
TXN0000031,ACC00017,2026-01-09 17:24:19,TRANSFER,115.16,EUR,AZ
TXN0000032,ACC00017,2026-01-09 05:16:47,ATM,116.98,EUR,AZ
TXN0000033,ACC00017,2026-01-09 14:46:06,TRANSFER,1982.33,EUR,AZ
TXN0000034,ACC00018,2026-01-09 19:54:16,POS,5919.69,USD,TR
TXN0000035,ACC00018,2026-01-09 23:24:33,ATM,171.13,USD,AZ
TXN0000036,ACC00019,2026-01-09 21:24:14,POS,191.69,AZN,TR
TXN0000037,ACC00019,2026-01-09 18:11:55,POS,164.52,AZN,AZ
TXN0000038,ACC00020,2026-01-09 07:32:22,ATM,171.47,EUR,AZ
TXN0000039,ACC00020,2026-01-09 14:28:21,TRANSFER,67.6,EUR,AZ
TXN0000040,ACC00021,2026-01-09 05:19:02,ATM,43.93,AZN,US
TXN0000041,ACC00021,2026-01-09 07:00:05,TRANSFER,7.57,AZN,AZ
TXN0000042,ACC00022,2026-01-09 20:42:31,TRANSFER,1143.86,AZN,AZ
TXN0000043,ACC00022,2026-01-09 06:35:34,POS,8.66,AZN,AZ
TXN0000044,ACC00023,2026-01-09 08:42:30,POS,42.38,AZN,AZ
TXN0000045,ACC00023,2026-01-09 19:18:21,TRANSFER,76.37,AZN,AZ
TXN0000046,ACC00024,2026-01-09 14:26:22,POS,2.55,AZN,GE
TXN0000047,ACC00024,2026-01-09 18:47:58,ATM,121.32,AZN,GE
TXN0000048,ACC00025,2026-01-09 07:07:37,TRANSFER,115.85,USD,GE
TXN0000049,ACC00025,2026-01-09 06:04:35,ATM,168.59,USD,GE
TXN0000050,ACC00026,2026-01-09 01:32:53,ATM,120.0,USD,AZ
TXN0000051,ACC00026,2026-01-09 10:38:56,TRANSFER,347.29,USD,TR
TXN0000052,ACC00027,2026-01-09 13:26:33,POS,56.85,AZN,DE
TXN0000053,ACC00027,2026-01-09 15:51:30,TRANSFER,166.89,AZN,US
TXN0000054,ACC00028,2026-01-09 22:36:06,ATM,170.03,AZN,AZ
TXN0000055,ACC00029,2026-01-09 13:14:18,TRANSFER,5389.26,AZN,AZ
TXN0000056,ACC00029,2026-01-09 01:28:38,TRANSFER,127.46,AZN,AZ
TXN0000057,ACC00030,2026-01-09 02:53:52,POS,11.22,USD,AZ
TXN0000058,ACC00030,2026-01-09 02:32:14,POS,33.57,USD,AZ
TXN0000059,ACC00030,2026-01-09 15:57:05,TRANSFER,39.61,USD,AZ
TXN0000060,ACC00031,2026-01-09 03:00:21,POS,186.09,AZN,GE
TXN0000061,ACC00032,2026-01-09 14:43:07,ATM,1482.21,AZN,AZ
TXN0000062,ACC00032,2026-01-09 20:03:53,ATM,120.54,AZN,AZ
TXN0000063,ACC00033,2026-01-09 10:13:29,POS,1294.26,AZN,TR
TXN0000064,ACC00033,2026-01-09 10:12:48,POS,808.13,AZN,AZ
TXN0000065,ACC00034,2026-01-09 17:41:52,POS,97.0,AZN,AZ
TXN0000066,ACC00034,2026-01-09 02:10:20,TRANSFER,20.93,AZN,GB
TXN0000067,ACC00035,2026-01-09 11:16:43,POS,44.03,USD,US
TXN0000068,ACC00036,2026-01-09 08:06:02,POS,71.39,EUR,AZ
TXN0000069,ACC00036,2026-01-09 16:49:52,POS,5.18,EUR,AZ
TXN0000070,ACC00037,2026-01-09 00:58:10,ATM,1667.78,USD,AZ
TXN0000071,ACC00037,2026-01-09 12:08:08,TRANSFER,1158.94,USD,AZ
TXN0000072,ACC00038,2026-01-09 23:46:02,TRANSFER,5739.77,AZN,US
TXN0000073,ACC00038,2026-01-09 14:29:05,POS,72.0,AZN,AZ
TXN0000074,ACC00039,2026-01-09 12:51:06,TRANSFER,48.92,AZN,AZ
TXN0000075,ACC00039,2026-01-09 08:30:04,TRANSFER,191.93,AZN,AZ
TXN0000076,ACC00039,2026-01-09 16:48:16,POS,30.92,AZN,AZ
TXN0000077,ACC00040,2026-01-09 16:30:32,POS,1498.39,AZN,AZ
TXN0000078,ACC00040,2026-01-09 17:11:12,POS,120.78,AZN,AZ
TXN0000079,ACC00041,2026-01-09 08:20:58,TRANSFER,15370.6,AZN,DE
TXN0000080,ACC00041,2026-01-09 03:47:30,ATM,49.78,AZN,DE
TXN0000081,ACC00042,2026-01-09 05:25:00,ATM,78.51,AZN,AZ
TXN0000082,ACC00042,2026-01-09 01:06:47,ATM,107.76,AZN,AZ
TXN0000083,ACC00043,2026-01-09 18:43:37,POS,31.64,AZN,US
TXN0000084,ACC00043,2026-01-09 20:18:16,TRANSFER,1.1,AZN,US
TXN0000085,ACC00044,2026-01-09 10:06:02,TRANSFER,55.87,AZN,AZ
TXN0000086,ACC00044,2026-01-09 22:45:16,ATM,11646.03,AZN,AZ
TXN0000087,ACC00045,2026-01-09 14:02:49,ATM,5364.63,AZN,DE
TXN0000088,ACC00045,2026-01-09 10:07:14,POS,33.03,AZN,DE
TXN0000089,ACC00046,2026-01-09 21:25:10,ATM,116.92,AZN,AZ
TXN0000090,ACC00046,2026-01-09 01:43:14,POS,70.56,AZN,AZ
TXN0000091,ACC00047,2026-01-09 08:02:44,ATM,176.86,AZN,AZ
TXN0000092,ACC00047,2026-01-09 06:41:26,POS,538.37,AZN,AZ
TXN0000093,ACC00048,2026-01-09 17:41:42,TRANSFER,483.04,AZN,AZ
TXN0000094,ACC00049,2026-01-09 08:21:55,POS,73.52,AZN,AZ
TXN0000095,ACC00049,2026-01-09 02:08:47,TRANSFER,104.03,AZN,AZ
TXN0000096,ACC00050,2026-01-09 21:01:33,ATM,176.69,USD,AZ
TXN0000097,ACC00051,2026-01-09 04:22:33,TRANSFER,11.77,AZN,US
TXN0000098,ACC00051,2026-01-09 17:51:08,ATM,73.57,AZN,US
TXN0000099,ACC00052,2026-01-09 20:22:05,TRANSFER,125.61,AZN,US
TXN0000100,ACC00052,2026-01-09 23:04:00,TRANSFER,19.98,AZN,US
TXN0000101,ACC00053,2026-01-09 04:46:30,POS,108.12,AZN,AZ
TXN0000102,ACC00053,2026-01-09 17:05:56,TRANSFER,33.31,AZN,AZ
TXN0000103,ACC00054,2026-01-09 09:36:49,ATM,175.01,AZN,US
TXN0000104,ACC00055,2026-01-09 11:02:48,POS,161.57,AZN,AZ
TXN0000105,ACC00055,2026-01-09 19:54:28,POS,110.63,AZN,AZ
TXN0000106,ACC00056,2026-01-09 02:34:55,ATM,104.6,USD,AZ
TXN0000107,ACC00056,2026-01-09 06:55:44,ATM,12.58,USD,AZ
